,P_arrival_sample,P_arrival_time,Pg_arrival_sample,Pg_arrival_time,Pn_arrival_sample,Pn_arrival_time,S_arrival_sample,S_arrival_time,Sg_arrival_sample,Sg_arrival_time,Sn_arrival_sample,Sn_arrival_time,channels,noise_rms,p_rms,path_azimuth_deg,path_ep_distance_deg,path_takeoff_angle_deg,s_rms,source_depth_km,source_id,source_latitude_deg,source_longitude_deg,source_magnitude,source_origin_time,station_code,station_elevation_m,station_latitude_deg,station_longitude_deg,station_network_code,trace_category,trace_start_time,filename,example_name
0,9414.0462,2018-12-22T19:20:45.520000Z,NaN,NaN,NaN,NaN,13683.0462,2018-12-22T19:21:28.210000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],14.646357820520057,9.039784114138085,246.57,3.964,NaN,18.60265903173742,27.0,origid=614881118,54.7516,164.6808,3.34,2018-12-22T19:19:46.150000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-22T19:19:11.379538Z,100_CREW.hdf5,IU.PET.BH_origid=614881118
1,10735.0461,2018-12-22T21:00:55.310000Z,NaN,NaN,NaN,NaN,15205.046100000001,2018-12-22T21:01:40.010000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],14.23304859724269,13.373876166780954,237.812,4.151,NaN,16.107527688094798,22.0,origid=614881128,55.3757,164.4743,3.71,2018-12-22T20:59:51.870000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-22T20:59:07.959539Z,100_CREW.hdf5,IU.PET.BH_origid=614881128
2,10867.0462,2018-12-22T23:56:20.220000Z,NaN,NaN,NaN,NaN,15401.046199999999,2018-12-22T23:57:05.560000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],6.548020510634937,8.701226200448163,245.044,4.204,NaN,13.908816541485859,26.3022,origid=614881137,54.964,164.9697,3.64,2018-12-22T23:55:17.800000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-22T23:54:31.549538Z,100_CREW.hdf5,IU.PET.BH_origid=614881137
3,11516.046199999999,2018-12-23T00:25:57.060000Z,NaN,NaN,NaN,NaN,15859.0462,2018-12-23T00:26:40.490000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],9.119611404838102,7.72348633949933,248.742,4.177,NaN,13.665172845079102,29.965799999999998,origid=614881141,54.7124,165.1054,3.62,2018-12-23T00:24:54.570000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T00:24:01.899538Z,100_CREW.hdf5,IU.PET.BH_origid=614881141
4,10936.0462,2018-12-23T03:13:50.400000Z,NaN,NaN,11020.0462,2018-12-23T03:13:51.240000Z,15396.0462,2018-12-23T03:14:35.000000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],1.1487398874679444,5.562407220022451,243.58,4.01,NaN,14.635970335749645,27.0,origid=614881166,54.9556,164.6045,4.88,2018-12-23T03:12:50.240000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T03:12:01.039538Z,100_CREW.hdf5,IU.PET.BH_origid=614881166
5,10745.0462,2018-12-23T09:03:30.180000Z,NaN,NaN,10673.0462,2018-12-23T09:03:29.460000Z,14597.0462,2018-12-23T09:04:08.700000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],2.5252836664063216,8.568065752842843,232.351,3.196,NaN,11.203585521317285,50.0,origid=614881191,55.047,162.8438,4.32,2018-12-23T09:02:42.880000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T09:01:42.729538Z,100_CREW.hdf5,IU.PET.BH_origid=614881191
6,10799.046199999999,2018-12-23T09:25:36.830000Z,NaN,NaN,NaN,NaN,15321.0462,2018-12-23T09:26:22.050000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],6.252804876129417,9.517351907574438,244.504,4.228,NaN,12.8215942025478,24.8579,origid=614881193,55.0105,164.9773,3.4,2018-12-23T09:24:33.140000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T09:23:48.839538Z,100_CREW.hdf5,IU.PET.BH_origid=614881193
7,11779.0462,2018-12-23T15:42:02.160000Z,NaN,NaN,11714.0462,2018-12-23T15:42:01.510000Z,16104.046199999999,2018-12-23T15:42:45.410000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],9.263408263642123,8.622306010208085,246.51,3.902,NaN,15.309193098055419,13.1175,origid=614881228,54.7258,164.5837,4.15,2018-12-23T15:41:02.140000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T15:40:04.369538Z,100_CREW.hdf5,IU.PET.BH_origid=614881228
8,9086.0461,2018-12-23T16:34:27.010000Z,NaN,NaN,NaN,NaN,13451.0461,2018-12-23T16:35:10.660000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],10.60259717548391,8.10912837185873,245.727,3.961,NaN,13.642854910484512,24.1251,origid=614881234,54.8014,164.6369,3.38,2018-12-23T16:33:28.020000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T16:32:56.149539Z,100_CREW.hdf5,IU.PET.BH_origid=614881234
9,10375.0461,2018-12-23T18:54:55.560000Z,NaN,NaN,NaN,NaN,14929.0461,2018-12-23T18:55:41.100000Z,NaN,NaN,NaN,NaN,['BH1' 'BH2' 'BHZ'],8.518332536793078,9.287238327508474,241.715,4.285,NaN,14.40327553890319,35.3019,origid=614881242,55.2171,164.9059,3.46,2018-12-23T18:53:51.340000Z,PET,110.0,53.0233,158.6499,IU,earthquake,2018-12-23T18:53:11.809539Z,100_CREW.hdf5,IU.PET.BH_origid=614881242
